inj_tot_t,ev_time,ev_year,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,total_seats,num_eng,afm_hrs_last_insp,rwy_len,acft_year,power_units
1,2345,2017,6000,0,10,86,72,4,0,0,0,0,33.96389,-81.359169,2,1,7,3000,1946,85
1,1850,2017,0,0,10,59,32,3,0,0,0,1,48.04972,-122.796669,2,1,26,3000,1946,85
2,1620,2015,0,0,10,48,34,6,0,1,1,0,32.547779,-83.826942,2,1,30,3000,1946,85
1,1400,2019,0,0,10,82,63,3,0,0,0,0,33.044445,-84.43222,2,1,6,3200,1946,85
1,1434,2015,0,0,10,52,30,10,0,0,0,0,39.974998,-81.577499,2,1,40,4298,1946,85
1,1620,2016,0,0,7,75,57,4,0,0,0,1,40.164443,-105.163612,2,1,4,4799,1946,85
2,2304,2016,0,0,10,64,54,13,0,0,0,0,36.662776,-121.606391,2,1,27,6004,1946,85
2,2015,2016,0,0,10,64,34,7,0,0,0,0,42.898334,-72.270835,2,1,7,6201,1946,85
1,1910,2014,7000,0,10,68,36,16,25,0,0,1,39.694442,-85.132225,2,1,17,6503,1946,85
1,1615,2018,0,0,10,88,70,11,0,0,1,0,36.429721,-93.695556,2,1,0.75,1900,1947,85
1,1545,2019,3400,0,10,90,72,6,0,0,0,0,33.935832,-81.430831,2,1,52,2600,1947,85
1,1850,2019,0,0,10,81,55,5,0,0,1,0,37.689445,-121.818885,2,1,0,2699,1947,85
1,2100,2014,25000,0,10,70,3,5,0,0,0,0,39.499443,-118.748886,2,1,2,5703,1948,85
2,350,2014,5000,7000,10,64,48,4,0,0,0,2,61.554443,-149.133605,2,1,47,2000,1956,85
2,2130,2013,0,0,10,82,70,8,0,0,0,2,36.52,-86.058052,2,1,25,5200,2008,85
1,2205,2015,0,0,10,82,68,4,0,0,0,1,39.961112,-82.540832,1,1,30,2764,2013,85
1,1640,2017,0,0,10,43,32,5,0,1,0,0,41.20861,-81.228332,2,1,0,3499,2017,85
1,2230,2020,0,0,10,64,52,6,0,0,0,0,43.348876,-88.390265,2,1,15,2000,1946,90
2,1915,2014,0,3300,10,72,57,11,20,0,2,0,32.821666,-83.561943,2,1,80,4694,1946,90
2,1730,2021,0,3600,10,82,66,9,18,1,1,0,26.978355,-80.211607,2,1,12,2700,1947,90
2,2330,2014,0,0,10,75,52,9,0,0,0,0,42.629165,-74.891113,2,1,97,2337,1949,90
1,2221,2022,9000,0,10,48,19,7,0,0,0,0,43.581341,-116.52306,2,1,34,5000,1953,90
2,2100,2014,25000,0,10,82,48,6,0,0,0,2,35.73611,-78.922775,2,1,7,1950,1965,90
1,1830,2020,4000,0,10,81,64,6,0,0,0,0,28.622499,-80.835281,2,1,25,1805,1999,90
2,1935,2018,0,0,10,81,54,9,0,1,1,0,42.022499,-70.835281,2,1,110,1760,1946,95
2,1835,2014,0,0,10,79,46,5,0,0,0,1,44.741664,-85.581665,2,1,130.3000031,69010,1957,95
1,1700,2018,0,0,10,91,52,7,0,0,0,1,34.868888,-118.207221,1,1,15,3600,1973,95
2,1400,2021,0,0,10,61,46,7,0,0,0,0,36.935722,-121.78963,2,1,85,4501,2008,99
1,1730,2021,0,0,10,66,61,7,0,0,0,0,34.095,-118.2708,2,1,50.5,3500,2010,99
1,2300,2014,0,0,10,66,34,6,0,0,0,0,61.613609,-149.673049,2,1,0,1200,1946,100
1,1800,2022,0,0,10,39,10,4,0,0,0,0,61.616632,-149.67087,2,1,5.599999905,2000,1946,100
3,1455,2021,2500,0,10,86,72,4,0,0,0,3,27.750054,-81.559071,2,1,47,2880,1946,100
1,2330,2021,0,0,10,84,73,3,0,0,0,0,38.83622,-89.37888,2,1,44,4000,1946,100
1,1748,2022,0,0,10,81,43,4,0,0,0,0,30.738927,-98.23861,2,1,18.79999924,5001,1946,100
2,1750,2021,0,0,10,88,61,14,18,0,0,0,41.287594,-74.287095,2,1,33,2100,1947,100
1,202,2018,0,0,10,66,45,10,14,0,0,0,35.137222,-118.444168,2,1,2,4040,1947,100
2,248,2021,0,0,10,43,-2,6,0,2,0,0,35.312778,-112.1878,2,1,8.760000229,6000,1947,100
2,1846,2021,0,0,10,90,0,17,35,0,0,1,45.865829,-95.394694,2,1,30,5099,1948,100
2,2005,2020,0,0,10,73,45,5,0,0,0,0,37.107722,-79.592472,2,1,47,3058,1958,100
1,1430,2015,0,0,10,25,12,5,0,0,0,1,43,-83,2,1,3,2510,1960,100
2,2000,2022,5500,0,10,95,68,10,18,0,0,2,35.539851,-97.201572,2,1,89,1400,1964,100
1,1819,2013,3700,0,10,28,12,6,0,0,0,0,43.645557,-70.308609,2,1,6,6100,1964,100
2,1433,2018,0,0,10,57,39,13,20,1,1,0,34.111389,-84.449165,2,1,61,2000,1965,100
2,1930,2020,0,3700,25,75,0,12,0,0,0,0,37.815834,-85.964721,2,1,14,2700,1965,100
1,2330,2018,0,0,10,84,46,7,0,0,0,0,43.239444,-123.355834,2,1,2454.199951,5003,1965,100
2,1630,2016,2600,0,10,55,41,10,18,0,1,0,36.731945,-97.099723,2,1,25,7201,1965,100
1,2140,2015,0,12000,10,55,34,13,19,1,0,0,61.588611,-149.814437,2,1,1434,1200,1966,100
1,0,2014,7500,0,10,75,57,4,0,0,0,0,40.565834,-74.979446,2,1,2,2900,1966,100
2,1830,2016,0,9000,10,79,64,5,0,0,2,0,33.533054,-84.171943,2,1,20,3000,1966,100
1,1830,2019,0,6500,10,41,21,4,0,0,1,0,43.329166,-76.413887,2,1,2,3997,1966,100
1,1800,2021,5000,0,10,79,55,11,15,0,0,0,33.157684,-84.375627,2,1,35,2500,1967,100
2,1445,2021,21000,0,10,30,7,5,0,0,0,0,38.585556,-77.067778,2,1,30,3740,1967,100
2,1700,2015,0,2200,10,7,0,20,26,0,0,1,40.924446,-88.623886,2,1,30,5000,1967,100
1,2254,2020,0,4800,10,68,54,4,0,0,1,0,47.468055,-122.564445,2,1,12,1850,1968,100
2,2030,2012,2000,2600,10,55,43,4,0,0,0,0,35.119167,-80.585556,2,1,134,2350,1968,100
1,2130,2020,0,0,10,0,54,7,16,0,0,1,37.3409,-118.3571,2,1,1.5,5600,1968,100
1,1545,2021,0,0,10,45,0,9,14,0,0,0,32.509833,-111.32533,2,1,52,6849,1971,100
1,2215,2022,0,0,10,90,50,3,0,0,0,0,30.731583,-96.131068,2,1,0.5,1500,1972,100
1,2315,2018,0,0,10,91,66,6,0,0,1,0,42.154167,-88.51139,1,1,10,3000,1973,100
1,1715,2016,0,0,10,37,18,6,0,0,0,0,39.841388,-77.274719,2,1,14,3100,1973,100
2,10,2018,0,0,10,82,63,9,16,1,1,0,34.257221,-118.408889,2,1,36,4120,1973,100
1,1630,2014,5500,5500,10,64,52,5,0,0,0,1,42.849998,-76.849723,2,1,18,2275,1974,100
2,1400,2021,0,15000,10,68,63,7,0,0,0,0,41.03,-81.8,2,1,11.19999981,2410,1974,100
2,1830,2017,0,0,10,66,30,8,20,1,1,0,33.923889,-116.871109,2,1,20,4955,1974,100
1,2032,2019,0,0,10,52,28,9,17,1,0,0,41.621112,-70.938331,2,1,14,5400,1977,100
2,1415,2014,0,0,10,79,55,10,0,0,1,0,31.86861,-107.615554,2,1,4,4000,1995,100
