First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Anthony,Joaquim,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mark,Evanchick,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Weitzel,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
James,Wittmeyer,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Andrew,Bracy,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,26,11,0,0.4230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mike,Mayer,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Thomas,O'Connell,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Garrett,Michaeli,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Washuta,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,20,0.4761904762,22,6.948130277442702,0,0,9119,0,0,0,0,0,0,,0
Andrew,Helmer,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Gunnar,Schimoler,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Brown,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jon,Paige,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Justin,Schwenk,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,69,33,0,0.4782608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tommy,Wright,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Holden,Garlent,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Trevor,Smyth,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brendan,Collins,,,5,1,1,1,0,1,0,8,0.125,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Alex,Woodall,,,5,1,0,0,0,0,1,0,0,0,0,0,0,0,35,0,1,134,79,0,0.5895522388059702,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Chaykowsky,,,5,1,1,1,0,1,0,3,0.3333333333333333,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pat,Aslanian,,,5,2,1,1,0,1,1,4,0.25,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,McMahon,77,D,6,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Mark,McNeill,21,M,6,0,0,0,0,0,0,1,0,0,0,0,0,0,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Marcus,Holman,1,A,6,7,6,6,0,6,1,26,0.23076923076923078,17,0.6538461538461539,3,0,1,14,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,0
Joseph,McCallion,3,M,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,11,4,7,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
