ev_time,ev_year,ev_country,light_cond,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_t,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,damage,acft_fire,acft_make,acft_model,total_seats,num_eng,afm_hrs_last_insp,second_pilot,rwy_len,acft_year,power_units,carb_fuel_injection,eng_type,eng_mfgr
2040,2008,USA,DAYL,25000,25000,8,88,54,5,0,2,0,0,2,27.899723,-81.455276,SUBS,NONE,Robinson,R44 II,4,1,19,Y,3999,,2058,FINJ,REC,Lycoming
1600,2008,USA,DAYL,25000,0,10,79,66,,0,1,1,0,0,38.703056,-90.566947,SUBS,NONE,LUCAS D E/ LUCAS K A,AcroSport II,2,1,42,N,,,200,CARB,REC,Lycoming
2300,2008,USA,DAYL,25000,12000,10,63,52,5,0,2,0,0,0,29.604444,-95.155281,SUBS,NONE,Piper,PA-30,,2,,Y,9001,,,FINJ,REC,Lycoming
2113,2008,USA,DAYL,25000,0,10,73,64,0,0,2,0,0,0,29.479999,-98.446388,SUBS,NONE,Flight Design GMBH,CTSW,2,1,33,N,,,100,CARB,REC,Rotax
1330,2008,USA,DAYL,25000,0,10,63,34,14,0,1,1,0,0,42.857498,-115.372497,SUBS,NONE,Snow,S2C,1,1,1801.599976,N,,,550,,TP,Pratt & Whitney
1830,2008,USA,DAYL,25000,0,10,73,37,7,0,1,0,0,1,36.176109,-82.673332,SUBS,GRD,Cessna,172M,4,1,180,N,3000,,150,CARB,REC,Lycoming
1945,2008,USA,DAWN,25000,0,60,61,-9,8,0,2,0,0,1,40.036945,-105.221946,SUBS,GRD,HAUSER U/HAUSER J,KIT FOX CL,2,1,,N,,,,CARB,REC,NSI
2100,2009,USA,DAYL,25000,0,10,57,34,8,0,3,3,0,0,29.76044,-94.669685,SUBS,NONE,COX WILLIAM M,BEARHAWK,4,1,,Y,,,250,CARB,REC,LYCOMING
2130,2009,USA,DAYL,25000,0,10,48,19,,0,1,0,0,0,34.105834,-84.448333,SUBS,NONE,CESSNA,120,2,1,1,N,2000,,85,CARB,REC,CONT MOTOR
1743,2009,USA,DAYL,25000,0,15,41,10,9,0,1,0,0,0,40.804164,-74.404998,SUBS,NONE,DIAMOND AIRCRAFT IND INC,DA 20-C1,2,1,61,N,5999,,125,,,CONT MOTOR
